seat_code,state,seat,mp
P107,Selangor,Sungai Buloh,Sivarasa Rasiah
P108,Selangor,Shah Alam,Khalid bin Abdul Samad
P109,Selangor,Kapar,Abdullah Sani bin Abdul Hamid
P110,Selangor,Klang,Charles Anthony Santiago
P111,Selangor,Kota Raja,Mohamad bin Sabu
P112,Selangor,Kuala Langat,Xavier Jayakumar A/L Arulanandam
P113,Selangor,Sepang,Mohamed Hanipa bin Maidin
P114,W.P. Kuala Lumpur,Kepong,Lim Lip Eng
P115,W.P. Kuala Lumpur,Batu,Prabakaran Parameswaran
P116,W.P. Kuala Lumpur,Wangsa Maju,Tan Yee Kew
P117,W.P. Kuala Lumpur,Segambut,Hannah Yeoh Tseow Suan
P118,W.P. Kuala Lumpur,Setiawangsa,Nik Nazmi bin Nik Ahmad
P119,W.P. Kuala Lumpur,Titiwangsa,Rina binti Mohd Harun
P120,W.P. Kuala Lumpur,Bukit Bintang,Fong Kui Lun
P121,W.P. Kuala Lumpur,Lembah Pantai,Ahmad Fahmi bin Mohamed Fadzil
P122,W.P. Kuala Lumpur,Seputeh,Teresa Kok Suh Sim
P123,W.P. Kuala Lumpur,Cheras,Tan Kok Wai
P124,W.P. Kuala Lumpur,Bandar Tun Razak,Kamarudin bin Jaffar
P125,W.P. Putrajaya,Putrajaya,Tengku Adnan bin Tengku Mansor
P126,Negeri Sembilan,Jelebu,Jalaluddin bin Alias
P127,Negeri Sembilan,Jempol,Mohd Salim bin Mohd Shariff
P128,Negeri Sembilan,Seremban,Anthony Loke Siew Fook
P129,Negeri Sembilan,Kuala Pilah,Eddin Syazlee bin Shith
P130,Negeri Sembilan,Rasah,Cha Kee Chin
P131,Negeri Sembilan,Rembau,Khairy bin Jamaluddin
P132,Negeri Sembilan,Port Dickson,Anwar bin Ibrahim
P133,Negeri Sembilan,Tampin,Hasan bin Bahrom
P134,Melaka,Masjid Tanah,Mas Ermieyati binti Samsudin
P135,Melaka,Alor Gajah,Mohd Redzuan bin Md. Yusof
P136,Melaka,Tangga Batu,Rusnah binti Aluai
P137,Melaka,Hang Tuah Jaya,Shamsul Iskandar Md Akin
P138,Melaka,Kota Melaka,Khoo Poay Tiong
P139,Melaka,Jasin,Ahmad bin Hamzah
P140,Johor,Segamat,Santhara Kumar A/L Ramanaidu
P141,Johor,Sekijang,Natrah binti Ismail
P142,Johor,Labis,Pang Hok Liong
P143,Johor,Pagoh,Mahiaddin bin Haji Md Yasin
P144,Johor,Ledang,Syed Ibrahim bin Syed Noh
P145,Johor,Bakri,Yeo Bee Yin
P146,Johor,Muar,Syed Saddiq bin Syed Abdul Rahman
P147,Johor,Parit Sulong,Noraini binti Ahmad
P148,Johor,Ayer Hitam,Wee Ka Siong
P149,Johor,Sri Gading,Shahruddin bin Md Salleh
P150,Johor,Batu Pahat,Mohd Rashid Hasnon
P151,Johor,Simpang Renggam,Maszlee bin Malik
P152,Johor,Kluang,Wong Shu Qi
P153,Johor,Sembrong,Hishammuddin Tun Hussein
P154,Johor,Mersing,Abdul Latiff bin Ahmad
P155,Johor,Tenggara,Adham bin Baba
P156,Johor,Kota Tinggi,Halimah binti Mohamed Sadique
P157,Johor,Pengerang,Azalina Othman Said
P158,Johor,Tebrau,Steven Choong Shiau Yoon
P159,Johor,Pasir Gudang,Hassan bin Abdul Karim
P160,Johor,Johor Bahru,Akmal Nasrullah bin Mohd Nasir
P161,Johor,Pulai,Salahuddin bin Ayub
P162,Johor,Iskandar Puteri,Lim Kit Siang
P163,Johor,Kulai,Teo Nie Ching
P164,Johor,Pontian,Ahmad bin Maslan
P165,Johor,Tanjung Piai,Wee Jeck Seng
P166,W.P. Labuan,Labuan,Rozman bin Isli
P167,Sabah,Kudat,Abd Rahim bin Bakri
P168,Sabah,Kota Marudu,Maximus Johnity Ongkili
P169,Sabah,Kota Belud,Isnaraissah Munirah binti Majilis @ Fakharudy
P170,Sabah,Tuaran,Wilfred Madius Tangau
P171,Sabah,Sepanggar,Mohd Azis bin Jamman
P172,Sabah,Kota Kinabalu,Chan Foong Hin
P173,Sabah,Putatan,Awang Suhaini bin Sahari
P174,Sabah,Penampang,Ignatius Darell Leiking
P175,Sabah,Papar,Ahmad bin Hassan
P176,Sabah,Kimanis,Mohamad bin Alamin
P177,Sabah,Beaufort,Azizah binti Mohd Dun
P178,Sabah,Sipitang,Yamani Hafez bin Musa
P179,Sabah,Ranau,Jonathan bin Yasin
P180,Sabah,Keningau,Jeffrey Kitingan
P181,Sabah,Tenom,Noorita Sual
P182,Sabah,Pensiangan,Arthur Joseph Kurup
P183,Sabah,Beluran,Ronald Kiandee
P184,Sabah,Libaran,Zakaria bin Mohd Edris
P185,Sabah,Batu Sapi,
P186,Sabah,Sandakan,Wong Tien Fatt @ Wong Nyuk Foh
P187,Sabah,Kinabatangan,Bung Moktar bin Radin
P188,Sabah,Lahad Datu,Mohamaddin bin Ketapi
P189,Sabah,Semporna,Mohd Shafie bin Apdal
P190,Sabah,Tawau,Christina Liew Chin Jin
P191,Sabah,Kalabakan,Ma'mun bin Sulaiman
P192,Sarawak,Mas Gading,Mordi Anak Bimol
P193,Sarawak,Santubong,Wan Junaidi bin Tuanku Jaafar
P194,Sarawak,Petra Jaya,Fadillah bin Yusof
P195,Sarawak,Bandar Kuching,Kelvin Yii Lee Wuen
P196,Sarawak,Stampin,Chong Chieng Jen
P197,Sarawak,Kota Samarahan,Rubiah binti Wang
P198,Sarawak,Puncak Borneo,Willie Anak Mongin
P199,Sarawak,Serian,Richard Riot Anak Jaem
P200,Sarawak,Batang Sadong,Nancy Shukri
P201,Sarawak,Batang Lupar,Rohani binti Abdul Karim
P202,Sarawak,Sri Aman,Masir Anak Kujat
