date,neer
2022-02-11,84.7
2022-02-14,84.84
2022-02-15,84.79
2022-02-16,84.74
2022-02-17,84.6
2022-02-18,84.6
2022-02-21,84.81
2022-02-22,84.71
2022-02-23,84.6
2022-02-24,84.89
2022-02-25,84.7
2022-02-28,84.89
2022-03-01,85.02
2022-03-02,85.08
2022-03-03,85.33
2022-03-04,85.82
2022-03-07,86.15
2022-03-08,86.05
2022-03-09,85.75
2022-03-10,85.62
2022-03-11,85.76
2022-03-14,85.82
2022-03-15,85.85
2022-03-16,85.84
2022-03-17,85.67
2022-03-18,85.86
2022-03-21,85.54
2022-03-22,85.41
2022-03-23,85.4
2022-03-24,85.41
2022-03-25,85.6
2022-03-28,85.77
2022-03-29,85.54
2022-03-30,85.39
2022-03-31,85.39
2022-04-01,85.47
2022-04-04,85.36
2022-04-05,85.5
2022-04-06,85.65
2022-04-07,85.66
2022-04-08,85.73
2022-04-11,85.67
2022-04-12,85.67
2022-04-13,85.74
2022-04-14,85.58
2022-04-15,85.61
2022-04-18,85.62
2022-04-19,85.63
2022-04-20,85
2022-04-21,84.99
2022-04-22,84.72
2022-04-25,84.47
2022-04-26,84.55
2022-04-27,84.79
2022-04-28,85.37
2022-04-29,85.12
2022-05-02,85.35
2022-05-03,85.3
2022-05-04,85.28
2022-05-05,85.28
2022-05-06,85.25
2022-05-09,85.31
2022-05-10,85.35
2022-05-11,85.35
2022-05-12,85.61
2022-05-13,85.48
2022-05-16,85.47
2022-05-17,85.11
2022-05-18,85
2022-05-19,84.77
2022-05-20,84.66
2022-05-23,84.35
2022-05-24,84.27
2022-05-25,84.41
2022-05-26,84.35
2022-05-27,84.44
2022-05-30,84.48
2022-05-31,84.39
2022-06-01,84.46
2022-06-02,84.37
2022-06-03,84.31
2022-06-06,84.29
2022-06-07,84.62
2022-06-08,84.66
2022-06-09,84.67
2022-06-10,84.91
2022-06-13,85.2
2022-06-14,85.2
2022-06-15,85.35
2022-06-16,85.51
2022-06-17,85.46
2022-06-20,85.39
2022-06-21,85.53
2022-06-22,85.54
2022-06-23,85.53
2022-06-24,85.47
2022-06-27,85.25
2022-06-28,85.51
2022-06-29,85.55
2022-06-30,85.7
2022-07-01,85.72
2022-07-04,85.48
2022-07-05,85.86
2022-07-06,85.96
2022-07-07,85.83
2022-07-08,85.83
2022-07-11,86.17
